Year,Alabama,Texas,Louisiana,Mississippi,Florida
1996,34,398,56,14,81
1997,27,824,142,66,106
1998,107,568,128,67,294
1999,59,340,87,52,74
2000,28,457,18,22,86
2001,74,488,135,145,69
2002,43,670,113,129,112
2003,166,473,61,143,88
2004,200,"1,033",81,146,171
2005,237,374,86,171,131
2006,46,423,85,50,49
2007,61,"1,376",40,55,54
2008,88,343,161,262,126
2009,273,453,203,380,100
2010,105,396,74,285,49
2011,198,120,113,321,59
2012,161,389,162,316,150
2013,174,366,76,192,87
2014,111,396,70,212,92
2015,93,"1,013",145,171,82
2016,61,546,144,161,110
2017,115,418,142,224,179
2018,74,380,86,175,76
2019,47,273,102,95,5
